#### EXPORT DONNEES METEO POUR "BREST (FINISTèRE)" (LAT/LON: 48.390394/-4.486076)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,5,4,22,3,5,4,3.7,83,8.125,1024,82.375,5,2,0,119,266,296,,,,météo très défavorable
2009-01-02,6,5,29,3,6,4,0.3,81,9.375,1025,37,6,2,1,116,113,113,,,,météo très défavorable
2009-01-03,4,3,25,1,4,3,0,80,10,1026,1.375,4,0,-2,113,113,113,,,,météo très défavorable
2009-01-04,5,0,8,-2,5,0,0,71,10,1026,36.25,5,1,-3,116,116,116,,,,météo très défavorable
2009-01-05,7,5,21,4,7,4,1.7,88,8.75,1021,82.875,7,5,1,119,296,317,,,,météo très défavorable
2009-01-06,4,3,23,1,4,3,1.4,81,10,1024,60.375,4,0,-2,326,326,113,,,,météo très défavorable
2009-01-07,5,1,19,-1,5,2,0.2,78,9,1028,36.625,5,2,-2,116,113,119,,,,météo très défavorable
2009-01-08,6,5,18,4,6,5,1.3,88,7.375,1029,68.625,6,3,2,266,263,116,,,,météo très défavorable
2009-01-09,5,-1,14,-2,4,1,0,84,10,1027,0,5,0,-6,113,113,113,,,,météo très défavorable
2009-01-10,8,3,12,1,8,3,0,61,10,1028,13.625,8,0,-1,113,113,113,,,,météo très défavorable
2009-01-11,11,8,41,7,11,10,0,86,10,1027,18.125,11,7,4,116,113,116,,,,météo défavorable
2009-01-12,12,11,48,10,12,11,12.2,92,8.625,1021,62,12,10,7,122,389,299,,,,météo défavorable
2009-01-13,10,9,24,8,10,9,1.5,90,9.75,1016,25.25,10,8,7,113,176,113,,,,météo défavorable
2009-01-14,11,7,31,4,11,9,0.9,92,8.25,1016,47.625,11,8,5,116,263,116,,,,météo défavorable
2009-01-15,10,9,38,9,10,9,1.4,80,9.25,1011,69.875,10,8,5,116,119,296,,,,météo défavorable
2009-01-16,11,10,31,9,11,10,0.8,92,9.875,1015,47.875,11,9,8,113,119,119,,,,météo défavorable
2009-01-17,11,11,39,9,11,10,4.3,82,8,1016,51.875,11,8,8,113,116,263,,,,météo défavorable
2009-01-18,11,7,38,8,8,8,12.6,79,8.625,1006,72.375,11,9,2,356,353,116,,,,météo défavorable
2009-01-19,12,6,46,10,7,6,20.1,86,8.625,994,78,12,10,0,302,356,176,,,,météo très défavorable
2009-01-20,7,6,19,3,7,5,4.6,81,9.125,998,43.5,7,3,3,353,176,200,,,,météo très défavorable
2009-01-21,10,6,33,5,9,9,10.4,87,9.125,1007,68.75,10,9,3,113,119,302,,,,météo défavorable
2009-01-22,12,11,27,10,12,11,27.2,90,4.125,994,97.5,12,10,8,308,266,266,,,,météo très défavorable
2009-01-23,12,8,44,10,9,7,9.6,79,7.5,992,51.75,12,11,3,299,176,116,,,,météo défavorable
2009-01-24,9,6,30,4,8,7,23.1,88,7,998,66.375,9,7,1,308,176,353,,,,météo très défavorable
2009-01-25,10,9,32,8,10,9,20.4,79,8.75,989,50.375,10,6,6,299,176,386,,,,météo très défavorable
2009-01-26,8,8,40,7,8,7,3.7,82,10,1010,66.625,8,5,3,353,353,353,,,,météo très défavorable
2009-01-27,10,7,17,7,9,10,2.7,96,6.625,1013,71.25,10,9,5,263,266,266,,,,météo défavorable
2009-01-28,11,10,17,8,11,9,11.2,97,6.375,1013,83.5,11,10,8,302,266,263,,,,météo défavorable
2009-01-29,11,10,34,8,11,9,2.1,89,7.875,1013,77.75,11,9,6,266,116,266,,,,météo défavorable
2009-01-30,12,11,36,9,12,10,4.4,92,9.625,1009,76.125,12,9,7,296,119,116,,,,météo défavorable
2009-01-31,10,9,23,8,10,9,0.6,90,9,1003,83.25,10,8,6,119,122,266,,,,météo défavorable
2009-02-01,8,4,40,5,5,2,0.3,82,9,1002,43,8,7,-2,119,113,113,,,,météo très défavorable
2009-02-02,2,2,34,1,2,1,2,77,9,1000,61.375,2,0,-5,326,227,368,,,,météo très défavorable
2009-02-03,4,3,19,1,4,3,8.4,88,9.125,997,63.125,4,2,-1,368,362,356,,,,météo très défavorable
2009-02-04,10,3,44,4,6,8,8.1,91,8.625,993,67.75,10,7,-4,293,389,353,,,,météo très défavorable
2009-02-05,10,7,21,5,10,6,4.7,84,9.125,987,54.125,10,6,4,113,176,353,,,,météo défavorable
2009-02-06,7,6,47,5,7,6,6.9,89,6.125,996,78.875,7,5,1,266,296,182,,,,météo très défavorable
2009-02-07,6,5,33,4,6,5,2.6,73,9.625,1006,61.875,6,2,1,317,176,362,,,,météo très défavorable
2009-02-08,8,6,26,4,7,8,2.2,90,7.25,1007,61,8,7,2,116,296,263,,,,météo très défavorable
2009-02-09,12,10,57,6,12,11,55,96,5.25,1007,91.25,12,11,6,302,308,308,,,,météo très défavorable
2009-02-10,9,8,29,6,9,8,4.4,73,8.75,1018,44.25,9,5,4,176,176,176,,,,météo défavorable
2009-02-11,8,7,12,6,8,7,3.7,95,5.75,1023,84.25,8,7,6,296,296,143,,,,météo très défavorable
2009-02-12,9,7,12,5,9,7,0,85,10,1028,16.25,9,5,5,116,113,113,,,,météo défavorable
2009-02-13,11,9,19,7,11,7,0,89,10,1026,49,11,7,7,119,116,113,,,,météo défavorable
2009-02-14,8,7,13,5,8,6,0.5,85,9,1030,58.5,8,4,4,266,119,113,,,,météo très défavorable
2009-02-15,8,5,10,1,7,3,0,72,10,1031,10.375,8,1,3,113,113,113,,,,météo très défavorable
2009-02-16,10,7,12,2,10,5,0,85,10,1031,20.375,10,5,6,113,113,113,,,,météo défavorable
