#### EXPORT DONNEES METEO POUR "BREST (FINISTèRE)" (LAT/LON: 48.390394/-4.486076)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2018-01-01,10,9,54,10,10,9,0.2,78,9.875,1017,48.875,10,8,5,200,113,122,0,3,5.8,météo défavorable
2018-01-02,13,12,40,9,12,12,0.2,97,9,1018,92.25,13,12,9,122,122,122,0,2,2.1,météo défavorable
2018-01-03,14,10,42,10,11,10,6.3,95,8.625,1015,85.25,14,12,5,119,122,122,0,3,2.1,météo défavorable
2018-01-04,13,11,49,13,12,11,5.3,92,9.375,1007,84.875,13,12,8,122,122,122,0,3,3.9,météo défavorable
2018-01-05,10,8,27,9,10,8,0,76,10,1002,46.5,10,6,4,119,113,116,0,3,5.8,météo défavorable
2018-01-06,8,5,21,5,8,6,0,86,10,1013,43,8,4,3,116,116,116,0,2,5.8,météo très défavorable
2018-01-07,8,7,49,7,7,7,0,84,10,1017,84.75,8,5,2,122,122,122,0,3,2.1,météo très défavorable
2018-01-08,8,6,23,7,8,6,0,91,9.875,1017,62.5,8,6,2,200,119,113,0,2,3.9,météo très défavorable
2018-01-09,11,8,36,6,11,10,1.7,94,9.875,1011,74,11,9,4,119,122,116,0,2,2.1,météo défavorable
2018-01-10,10,8,30,8,10,9,0,86,10,1007,43.375,11,7,5,113,113,122,0,3,5.8,météo défavorable
