#### EXPORT DONNEES METEO POUR "MARSEILLE" (LAT/LON: 43.296482/5.36978)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,13,11,9,10,13,11,0.6,85,9,1023,56,13,10,11,116,113,119,,,,météo correcte
2009-01-02,11,9,13,8,11,8,0.7,78,9.375,1021,38.5,11,8,7,116,116,113,,,,météo défavorable
2009-01-03,9,8,14,7,9,8,1,85,8.75,1018,47.5,9,6,6,116,263,263,,,,météo défavorable
2009-01-04,8,6,13,5,8,6,0.1,86,10,1019,11.625,8,5,4,113,113,113,,,,météo très défavorable
2009-01-05,9,3,27,2,9,4,0,50,10,1016,21,9,0,-2,113,113,116,,,,météo très défavorable
2009-01-06,7,5,18,3,7,5,1.3,72,9.875,1012,72.25,7,3,2,122,116,119,,,,météo très défavorable
2009-01-07,5,4,30,3,5,4,34.4,93,7.375,1014,90.75,5,4,-1,320,320,320,,,,météo très défavorable
2009-01-08,4,3,11,3,4,3,3.1,94,6.875,1022,64.75,4,3,1,263,263,176,,,,météo très défavorable
2009-01-09,7,6,31,5,7,6,4.9,88,8.625,1023,52.375,7,5,2,116,113,299,,,,météo très défavorable
2009-01-10,9,6,10,4,8,6,1.6,86,9.75,1026,34,9,7,3,116,176,113,,,,météo défavorable
2009-01-11,11,6,13,4,11,8,0,80,10,1029,12,11,8,3,113,113,113,,,,météo défavorable
2009-01-12,12,8,8,5,12,8,0,76,10,1029,5.875,12,8,7,113,113,113,,,,météo défavorable
2009-01-13,13,7,11,3,13,7,0,75,10,1023,10.125,13,8,4,116,113,113,,,,météo correcte
2009-01-14,10,5,41,3,10,6,0,77,10,1014,16.25,10,6,0,116,116,113,,,,météo très défavorable
2009-01-15,11,6,15,5,10,8,0,81,10,1020,6,11,6,4,113,113,113,,,,météo défavorable
2009-01-16,12,7,14,5,10,9,0,77,10,1024,8.75,12,8,4,113,113,113,,,,météo défavorable
2009-01-17,12,9,8,7,11,10,0.2,86,10,1024,37.625,12,8,7,119,116,113,,,,météo défavorable
2009-01-18,13,8,19,6,12,12,0.1,85,10,1022,30.625,13,10,6,113,113,116,,,,météo correcte
2009-01-19,15,12,26,9,15,12,0.6,88,9.25,1016,37.5,15,12,10,116,116,176,,,,météo correcte
2009-01-20,12,10,23,8,12,10,2,84,8.875,1002,25,12,8,8,293,113,113,,,,météo défavorable
2009-01-21,9,8,30,6,9,8,0,71,10,1010,4,9,3,4,113,113,113,,,,météo défavorable
2009-01-22,9,7,16,5,9,7,0,73,10,1010,26.125,9,3,4,113,116,116,,,,météo défavorable
2009-01-23,15,11,35,7,13,13,23,94,8.25,1003,66,15,13,9,302,308,176,,,,météo très défavorable
2009-01-24,13,11,51,8,13,10,10.7,85,9.25,995,55,13,9,9,386,293,302,,,,météo correcte
2009-01-25,11,6,26,4,10,9,0.1,78,10,999,11.25,11,6,1,113,113,113,,,,météo défavorable
2009-01-26,10,5,35,7,5,4,47,96,6.75,1001,90.625,10,8,-1,308,308,302,,,,météo très défavorable
2009-01-27,9,6,44,6,9,8,1.5,83,8.625,1009,36.75,9,5,1,263,113,113,,,,météo défavorable
2009-01-28,9,4,35,4,8,7,0,78,10,1011,0.75,9,4,-2,113,113,113,,,,météo très défavorable
2009-01-29,10,4,18,4,10,7,0,85,10,1015,1,10,4,0,113,113,113,,,,météo très défavorable
2009-01-30,12,5,18,5,12,9,0,79,10,1016,4.375,12,6,2,113,113,113,,,,météo très défavorable
2009-01-31,13,6,27,6,13,11,2.3,88,8.25,1014,50.375,13,9,2,113,263,266,,,,météo correcte
2009-02-01,11,9,45,9,11,10,6.8,85,6.25,1005,57.625,11,8,5,293,176,263,,,,météo défavorable
2009-02-02,11,9,48,9,11,10,74.6,93,5.375,999,99.875,11,10,4,308,308,308,,,,météo très défavorable
2009-02-03,11,10,42,10,11,10,20.2,89,7.25,999,88.875,11,9,5,302,299,302,,,,météo très défavorable
2009-02-04,12,10,22,10,12,11,6.7,87,9.25,999,31.375,12,10,8,176,176,176,,,,météo défavorable
2009-02-05,13,11,35,11,13,12,14.2,91,8.75,1001,48.875,13,11,8,116,353,389,,,,météo défavorable
2009-02-06,14,11,30,11,14,12,37,90,7.375,996,57.25,14,12,9,356,356,356,,,,météo très défavorable
2009-02-07,10,8,37,8,10,6,8.8,89,8.75,994,57.75,10,8,5,356,116,113,,,,météo défavorable
2009-02-08,6,4,51,4,6,5,0,74,10,1008,15.625,6,1,-3,113,113,113,,,,météo très défavorable
2009-02-09,10,5,26,5,9,8,0,76,10,1013,16.25,10,6,0,116,113,113,,,,météo très défavorable
2009-02-10,11,9,44,9,11,9,0.4,85,9.875,1015,15.75,11,8,5,113,113,176,,,,météo défavorable
2009-02-11,9,6,48,6,9,7,0,74,10,1016,10.5,9,2,1,113,116,113,,,,météo défavorable
2009-02-12,9,4,52,4,9,4,0,70,10,1017,6.875,9,1,-3,113,113,113,,,,météo très défavorable
2009-02-13,7,2,42,2,7,5,0,61,10,1018,2,7,0,-4,113,113,113,,,,météo très défavorable
2009-02-14,7,2,42,2,7,5,0,66,10,1022,2.875,7,0,-4,113,113,113,,,,météo très défavorable
2009-02-15,8,1,19,1,8,6,0,69,10,1024,8.5,8,0,-3,113,113,113,,,,météo très défavorable
2009-02-16,10,1,14,1,9,6,0,72,10,1025,31.75,10,0,-2,119,113,113,,,,météo très défavorable
2009-02-17,12,3,47,3,11,9,0,73,10,1023,9.5,12,5,-2,113,113,113,,,,météo très défavorable
2009-02-18,11,8,37,8,11,9,0,72,10,1019,9.625,11,4,3,113,113,113,,,,météo défavorable
2009-02-19,9,4,25,4,8,6,0,71,10,1024,12.375,9,0,-1,113,113,116,,,,météo très défavorable
2009-02-20,13,3,11,3,11,8,0,82,10,1028,8.125,13,4,1,113,113,113,,,,météo correcte
2009-02-21,12,5,28,5,12,9,0,72,10,1026,17.25,12,5,1,116,113,113,,,,météo très défavorable
