#### EXPORT DONNEES METEO POUR "MARSEILLE" (LAT/LON: 43.296482/5.36978)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2018-01-01,11,10,36,10,11,11,0,67,10,1020,30.375,11,9,6,113,113,119,0,4,8.7,météo défavorable
2018-01-02,11,9,31,8,11,10,0,74,10,1022,17.25,11,6,5,113,113,116,0,3,8.7,météo défavorable
2018-01-03,16,13,38,10,16,14,0,83,10,1020,27.5,16,10,10,116,113,116,0,4,8.7,météo correcte
2018-01-04,16,14,43,13,16,14,0,74,10,1017,21.625,16,10,12,116,113,113,0,4,8.7,météo correcte
2018-01-05,15,12,17,11,15,13,0,85,10,1012,8.25,16,11,11,113,113,113,0,4,8.7,météo correcte
2018-01-06,14,13,33,12,14,13,0,81,10,1007,29.5,14,10,10,113,113,119,0,4,8.7,météo correcte
2018-01-07,15,14,53,14,15,15,0.1,70,10,1010,46,15,8,11,116,122,119,0,4,5.2,météo correcte
2018-01-08,15,12,40,13,15,12,13.5,77,8.875,1011,77.75,15,9,10,200,122,119,0,4,3.4,météo défavorable
2018-01-09,13,11,26,10,13,12,3.4,76,9.375,1018,44.75,13,9,9,116,122,113,0,3,6.9,météo correcte
2018-01-10,12,10,8,10,12,11,0.3,66,9.875,1017,21.375,13,7,10,113,113,113,0,4,8.7,météo défavorable
2018-01-11,11,9,22,8,11,10,0,72,10,1015,23.625,11,6,6,113,113,113,0,3,8.7,météo défavorable
2018-01-12,12,8,15,7,11,10,0,66,10,1022,13.25,12,4,5,113,113,116,0,3,8.7,météo défavorable
2018-01-13,12,9,16,8,12,10,0,70,10,1022,23.5,12,5,8,113,113,116,0,3,8.7,météo défavorable
2018-01-14,11,10,28,9,11,10,0.2,75,10,1020,45.25,11,5,6,119,113,116,0,2,8.7,météo défavorable
2018-01-15,11,9,14,8,10,10,0.3,76,9.875,1022,42.875,11,7,7,116,116,116,0,3,7,météo défavorable
2018-01-16,14,11,38,10,14,13,0,75,10,1020,52.375,14,9,8,122,116,119,0,4,8.7,météo correcte
2018-01-17,13,10,48,12,12,10,0.1,52,10,1023,28.875,13,8,6,116,113,113,0,3,8.7,météo correcte
2018-01-18,11,9,31,8,11,10,0,74,10,1023,6.25,11,6,5,113,113,113,0,3,8.7,météo défavorable
2018-01-19,13,10,32,9,13,11,0,71,10,1018,10.5,13,6,7,113,113,113,0,4,8.7,météo correcte
2018-01-20,12,8,36,8,9,11,2,81,9.875,1019,57.75,12,9,5,113,122,122,0,3,5.2,météo défavorable
2018-01-21,14,13,51,12,14,13,0,62,10,1017,19.875,15,10,9,113,113,116,0,4,8.7,météo correcte
2018-01-22,16,13,37,13,16,14,0,68,10,1019,12.125,16,9,11,113,113,113,0,4,8.7,météo correcte
2018-01-23,15,12,36,11,14,13,0,62,10,1026,3.75,15,7,8,113,113,113,0,4,8.7,météo correcte
2018-01-24,14,11,21,10,14,12,0,74,10,1029,8,14,8,9,113,113,113,0,4,8.7,météo correcte
2018-01-25,13,12,32,11,13,12,0.2,83,10,1027,60.75,13,10,10,119,116,116,0,3,8.7,météo correcte
2018-01-26,12,12,41,12,12,12,14.7,83,8.75,1018,85.375,12,9,8,122,122,200,0,3,3.5,météo défavorable
2018-01-27,14,11,14,11,13,12,3.6,81,9.5,1034,41.125,14,9,10,116,116,113,0,3,8.7,météo correcte
2018-01-28,13,10,10,10,12,11,0,64,10,1036,1.125,15,7,12,113,113,113,0,4,8.7,météo correcte
2018-01-29,12,9,9,8,11,11,0,60,10,1035,0,15,7,12,113,113,113,0,4,8.7,météo défavorable
2018-01-30,12,8,12,8,11,11,0,64,10,1031,0,14,7,7,113,113,113,0,3,8.7,météo défavorable
2018-01-31,11,9,9,8,11,10,0,74,10,1028,7.375,12,8,10,113,113,116,0,3,8.7,météo défavorable
2018-02-01,9,8,23,9,9,9,0.7,85,9,1016,74.375,10,7,6,122,122,122,0,3,3.7,météo défavorable
2018-02-02,9,6,28,5,9,8,0,63,10,1006,59.25,9,0,2,116,119,116,0,2,3.7,météo défavorable
2018-02-03,8,6,46,6,8,7,0,60,10,1009,9.625,9,0,1,113,113,116,0,3,8.7,météo très défavorable
2018-02-04,10,6,10,5,9,9,0,54,10,1015,29.75,11,3,6,113,113,116,0,3,8.7,météo défavorable
2018-02-05,10,8,36,8,10,9,5.4,76,9.125,1015,78.125,10,6,5,119,119,116,0,2,3.8,météo défavorable
2018-02-06,9,8,25,8,9,8,5.5,77,9.5,1012,86,9,5,4,122,122,119,0,3,3.8,météo défavorable
2018-02-07,7,5,37,4,7,5,0,70,10,1013,22.25,7,3,-1,113,113,113,0,2,8.7,météo très défavorable
2018-02-08,7,3,25,2,6,5,0,65,10,1019,0.75,7,0,-2,113,113,113,0,2,10.5,météo très défavorable
2018-02-09,7,4,17,3,6,6,0,64,10,1019,7.125,8,0,3,113,113,113,0,2,10.6,météo très défavorable
2018-02-10,9,6,33,4,9,6,0,61,10,1016,26.125,9,0,1,116,113,113,0,3,10.6,météo défavorable
