#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,4,-1,9,-2,4,-2,0,92,7,1029,19.625,4,0,-4,143,113,116,,,,météo très défavorable
2009-01-02,1,-4,17,-4,1,-2,0,84,10,1027,7.625,1,0,-9,113,113,113,,,,météo très défavorable
2009-01-03,1,-3,18,-3,1,-2,0,92,10,1027,25.5,1,0,-8,116,113,113,,,,météo très défavorable
2009-01-04,0,-4,4,-5,0,-3,0,60,10,1026,33.75,0,0,-6,113,116,113,,,,météo très défavorable
2009-01-05,0,-2,10,-3,-1,-2,6.9,95,7.75,1020,87.5,0,0,-5,326,332,338,,,,météo très défavorable
2009-01-06,0,-5,21,-4,-4,-6,0.5,90,10,1023,56.625,0,0,-12,323,119,116,,,,météo très défavorable
2009-01-07,0,-9,13,-9,-3,-4,0,78,9,1026,17.625,0,0,-15,113,113,116,,,,météo très défavorable
2009-01-08,0,-4,20,-4,-1,-4,0,93,9,1028,17.375,0,0,-10,116,113,113,,,,météo très défavorable
2009-01-09,0,-4,7,-6,0,-3,0,87,7,1029,2.5,0,0,-7,143,113,113,,,,météo très défavorable
2009-01-10,3,-4,8,-6,3,-1,0,81,10,1030,0,3,0,-6,113,113,113,,,,météo très défavorable
2009-01-11,3,-3,17,-3,3,-1,0,72,10,1032,5,3,0,-7,113,113,113,,,,météo très défavorable
2009-01-12,3,-1,24,-1,3,2,0,85,10,1029,22.875,3,0,-6,113,113,113,,,,météo très défavorable
2009-01-13,3,3,18,2,3,3,6.9,88,7.25,1018,76.5,3,2,-2,293,263,296,,,,météo très défavorable
2009-01-14,5,4,10,2,5,4,0.4,93,6.375,1018,73.25,5,4,1,143,119,143,,,,météo très défavorable
2009-01-15,5,1,17,0,5,1,0,92,9,1019,32,5,1,-3,116,113,116,,,,météo très défavorable
2009-01-16,6,1,18,1,4,4,0,87,10,1020,53.25,6,4,-3,116,116,116,,,,météo très défavorable
2009-01-17,8,7,29,5,8,6,1.9,93,8.875,1020,85.75,8,7,2,119,296,122,,,,météo très défavorable
2009-01-18,8,7,38,5,8,7,11.2,92,7.875,1010,70.375,8,6,2,296,299,176,,,,météo très défavorable
2009-01-19,9,8,44,7,9,6,12.2,91,7.625,1006,80.25,9,8,3,302,296,263,,,,météo défavorable
2009-01-20,6,2,20,1,6,4,0.7,92,7.375,1000,46.25,6,3,-2,113,119,263,,,,météo très défavorable
2009-01-21,5,1,13,1,5,2,0,93,7,1009,47.375,5,2,-2,143,116,116,,,,météo très défavorable
2009-01-22,7,4,40,3,5,7,15.3,96,7.5,1007,94.25,7,7,-3,302,302,296,,,,météo très défavorable
2009-01-23,10,6,46,9,7,5,13.7,88,8.5,989,78.125,10,9,0,302,302,176,,,,météo défavorable
2009-01-24,6,4,22,3,6,5,0.9,90,5.875,1001,54.5,6,4,0,266,266,113,,,,météo très défavorable
2009-01-25,6,2,32,1,6,4,1.1,92,7,1000,64.5,6,3,-4,119,116,266,,,,météo très défavorable
2009-01-26,7,5,9,4,7,4,0.9,91,7,1007,68,7,4,3,143,116,116,,,,météo très défavorable
2009-01-27,6,3,12,3,5,4,0.3,89,8,1016,57.25,6,3,-1,116,266,113,,,,météo très défavorable
2009-01-28,5,2,7,0,5,2,0,92,7,1018,28.625,5,2,-1,143,116,113,,,,météo très défavorable
2009-01-29,4,0,15,-2,4,0,0,80,10,1019,21.125,4,0,-4,116,113,113,,,,météo très défavorable
2009-01-30,4,-1,23,-2,3,1,0,81,10,1020,20.375,4,0,-6,113,113,116,,,,météo très défavorable
2009-01-31,4,0,28,-1,4,0,0,70,10,1014,13,4,0,-6,116,113,113,,,,météo très défavorable
2009-02-01,2,-2,29,-3,2,-2,0,75,10,1010,29,2,0,-8,113,113,116,,,,météo très défavorable
2009-02-02,3,1,22,-1,2,3,11.2,98,8.5,1000,88.25,3,3,-4,332,302,296,,,,météo très défavorable
2009-02-03,5,-2,10,-4,3,2,0.3,89,10,1003,18,5,0,-6,113,113,113,,,,météo très défavorable
2009-02-04,3,-1,15,-3,3,3,1.8,88,9.75,1001,55.875,3,2,-5,116,122,176,,,,météo très défavorable
2009-02-05,8,5,27,4,7,5,11.1,95,8,993,67.625,8,6,1,302,266,116,,,,météo très défavorable
2009-02-06,9,5,18,3,8,6,2.5,92,8.375,992,57.875,9,6,1,200,266,176,,,,météo très défavorable
2009-02-07,5,4,25,2,5,3,7.6,93,7.75,1000,74.125,5,3,-1,116,317,338,,,,météo très défavorable
2009-02-08,5,2,18,-1,5,1,0.8,91,7,1007,53,5,1,-1,143,116,116,,,,météo très défavorable
2009-02-09,10,2,33,4,4,8,25,100,5.5,1007,94.5,10,8,-4,266,296,308,,,,météo très défavorable
2009-02-10,10,4,49,5,5,3,10.8,88,7.75,1013,82.125,10,8,-2,302,296,182,,,,météo très défavorable
2009-02-11,7,3,13,0,7,4,0.3,85,7.375,1018,31.5,7,2,1,143,116,113,,,,météo très défavorable
2009-02-12,4,1,18,0,4,2,2.9,88,9.875,1025,77.375,4,2,-3,323,122,368,,,,météo très défavorable
2009-02-13,3,2,21,1,3,2,5.6,96,7.875,1024,80.5,3,2,-3,332,317,326,,,,météo très défavorable
