#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,3,1,7,-1,3,0,0.6,91,4.125,1029,68,3,1,-1,260,119,143,,,,météo très défavorable
2009-01-02,1,-1,13,-3,1,-1,0,79,10,1027,16.25,1,0,-4,113,113,113,,,,météo très défavorable
2009-01-03,1,-3,14,-5,1,-5,0,79,10,1028,5.5,1,0,-8,113,113,113,,,,météo très défavorable
2009-01-04,0,-6,6,-9,-1,-6,0,67,10,1026,36.375,0,0,-9,116,116,116,,,,météo très défavorable
2009-01-05,0,-6,6,-7,-1,-4,0.3,70,10,1020,77.75,0,0,-8,119,122,122,,,,météo très défavorable
2009-01-06,0,-3,19,-5,-3,-4,0.8,89,10,1021,80.875,0,0,-9,122,119,326,,,,météo très défavorable
2009-01-07,0,-8,12,-10,-3,-8,0,88,6.5,1025,21,0,0,-13,260,113,113,,,,météo très défavorable
2009-01-08,0,-7,20,-8,-2,-6,0,84,10,1029,1,0,0,-14,113,113,113,,,,météo très défavorable
2009-01-09,0,-7,5,-9,-2,-7,0,71,10,1032,2.125,0,0,-9,113,113,113,,,,météo très défavorable
2009-01-10,1,-5,3,-8,1,-6,0,79,10,1032,0.5,1,0,-5,113,113,113,,,,météo très défavorable
2009-01-11,2,-5,9,-7,2,-5,0,56,10,1035,0,2,0,-9,113,113,113,,,,météo très défavorable
2009-01-12,2,-4,12,-6,2,-3,0,56,10,1033,5.375,2,0,-8,113,113,116,,,,météo très défavorable
2009-01-13,4,0,11,-3,4,-2,0,70,10,1023,25.875,4,0,-4,116,113,113,,,,météo très défavorable
2009-01-14,1,-3,7,-4,-1,-1,2.8,92,7.625,1020,52.625,1,0,-6,113,317,317,,,,météo très défavorable
2009-01-15,4,0,10,-1,4,-2,0.2,91,5,1023,27.75,4,1,-2,143,113,143,,,,météo très défavorable
2009-01-16,3,-3,12,-5,3,-2,0,81,7,1025,17,3,0,-7,143,113,113,,,,météo très défavorable
2009-01-17,5,2,18,0,5,3,0.1,86,10,1024,52,5,3,-3,116,119,116,,,,météo très défavorable
2009-01-18,5,4,37,3,5,4,8.2,93,9.375,1018,71.25,5,4,-1,116,296,302,,,,météo très défavorable
