#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2018-01-01,9,6,25,7,8,7,1.4,74,8.25,1013,69.75,9,6,3,116,119,119,0,2,5,météo défavorable
2018-01-02,7,5,21,5,7,5,1.9,82,9.875,1018,78.625,7,3,2,116,122,119,0,2,3.1,météo très défavorable
2018-01-03,11,6,36,11,8,6,9.3,81,9.5,1010,73.5,11,8,3,122,122,116,0,2,5,météo défavorable
2018-01-04,12,7,25,6,10,12,6.5,90,8.625,1008,90.375,12,10,5,122,122,122,0,2,3.1,météo défavorable
2018-01-05,10,9,14,8,10,9,4,92,8.625,1005,76.875,11,9,7,119,122,119,0,2,5,météo défavorable
2018-01-06,8,6,4,6,8,6,3.9,93,9.75,1010,72.125,9,7,6,122,116,119,0,2,6.8,météo très défavorable
2018-01-07,7,5,21,5,7,6,0,90,10,1019,78.375,7,4,2,122,122,122,0,3,3.1,météo très défavorable
2018-01-08,7,4,11,3,7,4,0,92,9,1019,60.875,7,5,2,143,122,113,0,1,3.1,météo très défavorable
2018-01-09,7,4,6,3,7,6,0,86,7.5,1014,75.75,8,4,4,122,116,119,0,1,6.8,météo très défavorable
2018-01-10,9,5,10,4,9,6,0.5,81,9,1014,66.75,9,4,4,113,116,119,0,2,6.8,météo très défavorable
2018-01-11,8,4,6,3,8,4,0,92,10,1021,60.25,8,5,4,119,119,116,0,1,6.8,météo très défavorable
2018-01-12,5,3,9,1,5,3,0,91,8,1026,41.75,6,3,2,143,119,116,0,2,6.8,météo très défavorable
2018-01-13,6,2,9,1,6,2,0,85,10,1026,36,6,2,1,116,122,116,0,2,6.9,météo très défavorable
