year,AverageTemperature,moving_average
1753,10.402,9.079153679653679
1754,10.154,9.43715367965368
1755,9.841916666666668,9.20317748917749
1756,10.196583333333333,9.984260822510823
1757,10.022,9.819416666666669
1758,9.6155,9.599809523809526
1759,10.663916666666667,10.127988095238097
1760,10.496833333333333,10.141535714285714
1761,10.546166666666666,10.197559523809526
1762,10.061916666666667,10.228988095238096
1763,9.832666666666666,10.177000000000001
1764,10.312333333333335,10.21847619047619
1765,10.151833333333334,10.295095238095238
1766,9.987999999999998,10.198535714285713
1767,10.009083333333335,10.128857142857143
1768,10.074499999999999,10.06147619047619
1769,10.101999999999999,10.067202380952383
1770,9.991833333333332,10.089940476190478
1771,9.976250000000002,10.041928571428574
1772,10.943333333333333,10.155000000000003
1773,10.346499999999999,10.20621428571429
1774,10.323083333333333,10.251071428571432
1775,10.917333333333334,10.371476190476193
1776,10.251083333333334,10.392773809523813
1777,10.1725,10.418583333333336
1778,10.798666666666668,10.53607142857143
1779,11.364166666666668,10.596190476190477
1780,10.63425,10.637297619047619
1781,11.395333333333335,10.790476190476193
1782,9.529083333333334,10.592154761904764
1783,11.007166666666665,10.70016666666667
1784,9.445333333333334,10.596285714285717
1785,9.488916666666666,10.409178571428575
1786,9.647583333333333,10.163952380952384
1787,10.52625,10.148523809523814
1788,10.482333333333335,10.018095238095242
1789,9.795583333333335,10.056166666666671
1790,10.593666666666666,9.997095238095243
1791,10.645999999999999,10.168619047619051
1792,10.595083333333333,10.326642857142861
1793,10.661499999999998,10.4714880952381
1794,11.086833333333336,10.551571428571433
1795,10.372333333333334,10.535857142857148
1796,10.257416666666666,10.601833333333337
1797,10.553,10.596023809523814
1798,10.517916666666666,10.577726190476195
1799,8.890833333333333,10.334261904761908
1800,10.456833333333332,10.305023809523814
1801,10.64225,10.241511904761909
1802,10.456666666666665,10.253559523809528
1803,9.902,10.202785714285719
1804,10.457083333333333,10.189083333333338
1805,9.091499999999998,9.985309523809528
1806,11.164666666666667,10.31014285714286
1807,10.243583333333333,10.279678571428574
1808,9.521166666666668,10.119523809523812
1809,9.902999999999999,10.040428571428576
1810,9.874333333333333,10.036476190476193
1811,11.165999999999999,10.137750000000002
1812,9.357666666666667,10.175773809523813
1813,9.768749999999999,9.976357142857145
1814,9.219333333333335,9.830035714285717
1815,10.058916666666669,9.906857142857147
1816,8.89425,9.762750000000002
1817,10.064333333333334,9.78989285714286
1818,10.755833333333333,9.731297619047622
1819,10.788333333333336,9.935678571428573
1820,9.677666666666665,9.92266666666667
1821,10.674583333333333,10.130559523809525
1822,11.539,10.342
1823,9.998333333333333,10.499726190476192
1824,10.483916666666667,10.559666666666669
1825,10.867583333333334,10.575630952380953
1826,10.698749999999999,10.562833333333334
1827,10.077416666666666,10.619940476190477
1828,11.017916666666666,10.668988095238095
1829,8.759333333333334,10.271892857142857
1830,9.586666666666668,10.213083333333334
1831,10.802749999999998,10.258630952380953
1832,10.019499999999999,10.13747619047619
1833,10.260833333333332,10.074916666666667
1834,11.566250000000002,10.287607142857143
1835,10.182916666666669,10.16832142857143
1836,10.298250000000001,10.388166666666667
1837,9.797416666666667,10.418273809523809
1838,9.29175,10.202416666666664
1839,10.1935,10.227273809523808
1840,9.626583333333334,10.136666666666665
1841,10.146416666666665,9.93383333333333
1842,9.992166666666666,9.90658333333333
1843,10.3635,9.91590476190476
1844,9.701583333333334,9.902214285714283
1845,9.42675,9.921499999999996
1846,11.405583333333333,10.09465476190476
1847,10.013750000000002,10.149964285714285
1848,10.388250000000001,10.184511904761903
1849,10.341916666666666,10.234476190476189
1850,9.787,10.152119047619047
1851,9.75575,10.159857142857144
1852,10.978499999999999,10.381535714285715
1853,9.318166666666666,10.083333333333334
1854,10.232083333333335,10.114523809523812
1855,8.981333333333332,9.913535714285716
1856,10.316333333333333,9.909880952380956
1857,10.88,10.066023809523811
1858,9.939166666666667,10.092226190476191
1859,11.091416666666667,10.108357142857143
1860,9.14625,10.083797619047617
1861,10.298083333333334,10.093226190476189
1862,10.818166666666668,10.355630952380952
1863,10.775,10.421154761904763
1864,9.361833333333333,10.204273809523812
1865,10.779166666666667,10.324273809523813
1866,10.765916666666667,10.277773809523811
1867,10.098166666666666,10.413761904761909
1868,11.332749999999999,10.561571428571431
1869,10.312333333333333,10.489309523809526
1870,9.715083333333334,10.33789285714286
1871,9.427916666666667,10.347333333333335
1872,11.069916666666666,10.38886904761905
1873,10.36075,10.330988095238096
1874,10.290916666666666,10.358523809523808
1875,10.1655,10.191773809523808
1876,10.568083333333332,10.228309523809523
1877,10.488583333333333,10.338809523809521
1878,10.133833333333333,10.43965476190476
1879,8.680666666666667,10.098333333333331
1880,10.467166666666666,10.113535714285714
1881,9.87225,10.053726190476189
1882,10.200083333333335,10.058666666666667
1883,9.970166666666666,9.973250000000002
1884,10.656833333333331,9.997285714285713
1885,9.77725,9.946345238095237
1886,10.101166666666666,10.149273809523809
1887,9.052750000000001,9.947214285714285
1888,9.122,9.840035714285715
1889,9.480416666666665,9.737226190476191
1890,9.338916666666666,9.647047619047617
1891,9.5315,9.486285714285714
1892,9.800083333333335,9.489547619047618
1893,10.786333333333333,9.587428571428571
1894,10.30775,9.766714285714285
1895,9.826166666666667,9.867309523809523
1896,9.802916666666667,9.91338095238095
1897,10.48025,10.076428571428568
1898,10.788666666666666,10.256023809523809
1899,10.735333333333331,10.389630952380951
1900,10.79125,10.390333333333333
1901,9.902666666666667,10.332464285714284
1902,9.8315,10.333226190476191
1903,10.27425,10.400559523809523
1904,10.400916666666665,10.38922619047619
1905,10.00925,10.27788095238095
1906,10.501333333333333,10.24445238095238
1907,10.112,10.147416666666663
1908,9.92266666666667,10.150273809523808
1909,9.5875,10.115416666666665
1910,10.323500000000001,10.12245238095238
1911,11.158666666666667,10.23070238095238
1912,10.338,10.277666666666665
1913,10.762916666666667,10.315035714285713
1914,10.529000000000002,10.374607142857142
1915,10.208083333333335,10.415380952380952
1916,10.386000000000001,10.529452380952378
1917,9.373916666666668,10.393797619047618
1918,10.543416666666667,10.305904761904761
1919,9.69475,10.214011904761906
1920,10.666,10.200166666666666
1921,11.427166666666666,10.328476190476191
1922,9.79225,10.269071428571428
1923,10.45575,10.279035714285714
1924,10.095999999999998,10.382190476190475
1925,10.109166666666667,10.32015476190476
1926,10.8375,10.483404761904762
1927,10.32025,10.434011904761904
1928,10.934583333333334,10.363642857142858
1929,10.095249999999998,10.40692857142857
1930,10.8685,10.465892857142858
1931,9.936166666666667,10.443059523809524
1932,10.380333333333335,10.48179761904762
1933,10.31725,10.40747619047619
1934,11.137250000000002,10.524190476190478
1935,10.616999999999999,10.47882142857143
1936,10.497583333333333,10.536297619047621
1937,10.927750000000001,10.54476190476191
1938,10.734333333333334,10.658785714285719
1939,10.547500000000003,10.682666666666671
1940,9.715583333333333,10.596714285714288
1941,9.933583333333335,10.424761904761908
1942,9.992583333333334,10.335559523809525
1943,11.196833333333332,10.435452380952382
1944,10.482333333333335,10.371821428571428
1945,11.295749999999998,10.452023809523808
1946,10.346333333333334,10.423285714285713
1947,11.294583333333337,10.648857142857143
1948,10.947333333333335,10.793678571428572
1949,11.511583333333334,11.010678571428572
1950,10.768333333333333,10.949464285714287
1951,10.590750000000002,10.964952380952383
1952,10.531166666666666,10.855726190476192
1953,10.837333333333333,10.925869047619049
1954,10.254333333333333,10.777261904761906
1955,10.442416666666668,10.705130952380955
1956,9.589500000000001,10.430547619047621
1957,10.944333333333335,10.45569047619048
1958,10.621833333333333,10.460130952380954
1959,11.660416666666668,10.621452380952382
1960,10.828916666666665,10.620250000000002
1961,11.428083333333335,10.787928571428575
1962,9.554416666666667,10.66107142857143
1963,9.136083333333334,10.59629761904762
1964,10.449749999999998,10.525642857142858
1965,9.937499999999998,10.427880952380955
1966,10.823333333333332,10.308297619047622
1967,10.766666666666667,10.299404761904766
1968,10.204666666666666,10.124630952380956
1969,10.532833333333333,10.264404761904766
1970,10.5115,10.460892857142861
1971,10.632166666666665,10.486952380952385
1972,10.191666666666665,10.523261904761908
1973,10.568666666666667,10.486880952380956
1974,10.909833333333333,10.507333333333337
1975,10.730083333333333,10.582392857142862
1976,11.405083333333332,10.707000000000006
1977,10.690416666666666,10.73255952380953
1978,10.028333333333334,10.646297619047626
1979,10.051333333333334,10.626250000000008
1980,10.071916666666668,10.55528571428572
1981,10.658,10.519309523809529
1982,11.266833333333333,10.5959880952381
1983,11.166249999999998,10.561869047619052
1984,10.648,10.555809523809527
1985,9.866583333333333,10.532702380952385
1986,10.165666666666667,10.549035714285719
1987,10.0455,10.54526190476191
1988,11.303833333333335,10.637523809523813
1989,11.766583333333335,10.708916666666669
1990,11.964416666666667,10.82294047619048
1991,10.600750000000001,10.816190476190481
1992,11.148166666666668,10.999273809523814
1993,10.701000000000002,11.075750000000005
1994,11.96241666666667,11.349595238095244
1995,11.692749999999998,11.405154761904768
1996,10.144916666666665,11.1734880952381
1997,11.593833333333334,11.120547619047626
1998,11.250166666666663,11.213321428571433
1999,11.831249999999999,11.310904761904766
2000,11.739666666666666,11.459285714285716
2001,11.371250000000002,11.374833333333337
2002,11.871333333333332,11.40034523809524
2003,11.9095,11.652428571428572
2004,11.338833333333332,11.616
2005,11.552916666666668,11.65925
2006,11.788499999999997,11.653142857142857
2007,11.750833333333338,11.654738095238097
2008,11.278249999999998,11.641452380952382
2009,11.464083333333335,11.583273809523812
2010,10.409833333333333,11.369035714285717
2011,12.325750000000001,11.510023809523814
2012,11.219916666666668,11.462452380952385
2013,11.011625,11.351470238095242
